Date;Certified_Stocks
;Close
28.01.2026;431118
27.01.2026;431118
26.01.2026;440312
23.01.2026;447855
22.01.2026;442459
21.01.2026;440553
20.01.2026;440846
16.01.2026;446678
15.01.2026;449322
14.01.2026;449322
13.01.2026;453029
12.01.2026;450319
09.01.2026;461334
08.01.2026;461469
07.01.2026;461829
06.01.2026;457031
05.01.2026;452906
02.01.2026;452906
31.12.2025;453155
30.12.2025;455727
29.12.2025;456477
26.12.2025;456477
24.12.2025;456477
23.12.2025;453764
22.12.2025;443983
19.12.2025;439257
18.12.2025;432672
17.12.2025;426938
16.12.2025;420173
15.12.2025;417453
12.12.2025;420597
11.12.2025;416374
10.12.2025;415280
09.12.2025;412446
08.12.2025;421379
05.12.2025;426523
04.12.2025;418494
03.12.2025;413474
02.12.2025;408904
01.12.2025;406609
28.11.2025;406959
26.11.2025;408939
25.11.2025;403554
24.11.2025;405215
21.11.2025;402069
20.11.2025;398645
19.11.2025;400323
18.11.2025;396513
17.11.2025;400790
14.11.2025;403190
13.11.2025;403430
12.11.2025;404930
11.11.2025;406129
10.11.2025;416703
07.11.2025;417478
06.11.2025;418203
05.11.2025;429770
04.11.2025;430270
03.11.2025;431481
31.10.2025;431728
30.10.2025;446475
29.10.2025;446475
28.10.2025;449615
27.10.2025;450743
24.10.2025;447773
23.10.2025;462806
22.10.2025;465910
21.10.2025;468410
20.10.2025;468410
17.10.2025;467110
16.10.2025;493783
15.10.2025;494558
14.10.2025;496808
13.10.2025;498088
10.10.2025;509383
09.10.2025;519534
08.10.2025;525989
07.10.2025;534665
03.10.2025;538606
02.10.2025;547036
01.10.2025;563351
30.09.2025;569937
29.09.2025;571754
26.09.2025;576753
25.09.2025;579961
24.09.2025;601717
23.09.2025;615903
22.09.2025;643341
19.09.2025;654225
18.09.2025;658302
17.09.2025;659949
16.09.2025;668874
15.09.2025;666337
12.09.2025;669225
11.09.2025;669991
10.09.2025;679548
09.09.2025;685945
08.09.2025;695884
05.09.2025;692766
04.09.2025;690432
03.09.2025;686863
02.09.2025;699404
29.08.2025;710196
28.08.2025;714936
27.08.2025;716578
26.08.2025;717113
25.08.2025;729934
22.08.2025;729606
21.08.2025;729829
20.08.2025;736099
19.08.2025;736573
18.08.2025;733105
15.08.2025;731739
14.08.2025;726661
13.08.2025;736411
12.08.2025;737526
11.08.2025;737609
08.08.2025;738094
07.08.2025;743240
06.08.2025;751044
05.08.2025;754516
04.08.2025;760529
01.08.2025;761453
31.07.2025;770621
30.07.2025;775476
29.07.2025;791842
28.07.2025;800326
25.07.2025;802678
24.07.2025;806232
23.07.2025;806062
22.07.2025;807856
21.07.2025;811024
18.07.2025;814055
17.07.2025;819061
16.07.2025;821463
15.07.2025;831612
14.07.2025;828678
11.07.2025;826914
10.07.2025;831719
09.07.2025;836330
08.07.2025;832430
07.07.2025;833695
03.07.2025;842223
02.07.2025;843759
01.07.2025;841770
30.06.2025;841173
27.06.2025;844319
26.06.2025;850381
25.06.2025;854206
24.06.2025;855380
23.06.2025;865898
20.06.2025;868567
19.06.2025;863808
18.06.2025;861143
17.06.2025;859389
16.06.2025;852849
13.06.2025;846291
12.06.2025;837524
11.06.2025;827587
10.06.2025;818442
09.06.2025;816269
06.06.2025;820669
05.06.2025;826484
04.06.2025;860723
03.06.2025;878087
02.06.2025;882212
30.05.2025;888390
29.05.2025;891716
28.05.2025;886115
27.05.2025;892468
22.05.2025;883197
21.05.2025;876019
20.05.2025;866951
19.05.2025;858534
16.05.2025;851169
15.05.2025;841822
14.05.2025;835767
13.05.2025;844047
12.05.2025;843903
09.05.2025;838168
08.05.2025;837358
07.05.2025;844473
06.05.2025;838385
05.05.2025;832133
02.05.2025;828119
01.05.2025;821075
30.04.2025;813668
29.04.2025;812611
28.04.2025;826304
25.04.2025;822021
24.04.2025;815926
23.04.2025;811816
22.04.2025;806181
21.04.2025;801549
17.04.2025;795588
16.04.2025;787313
15.04.2025;790337
14.04.2025;786920
11.04.2025;784559
10.04.2025;785559
09.04.2025;778188
08.04.2025;780806
07.04.2025;773786
04.04.2025;771014
03.04.2025;782113
02.04.2025;777263
01.04.2025;780340
