date,COT_Net_Spec
2015-01-06,31014.0
2015-01-07,31014.0
2015-01-08,31014.0
2015-01-09,31014.0
2015-01-10,31014.0
2015-01-11,31014.0
2015-01-12,31014.0
2015-01-13,37939.0
2015-01-14,37939.0
2015-01-15,37939.0
2015-01-16,37939.0
2015-01-17,37939.0
2015-01-18,37939.0
2015-01-19,37939.0
2015-01-20,34694.0
2015-01-21,34694.0
2015-01-22,34694.0
2015-01-23,34694.0
2015-01-24,34694.0
2015-01-25,34694.0
2015-01-26,34694.0
2015-01-27,28817.0
2015-01-28,28817.0
2015-01-29,28817.0
2015-01-30,28817.0
2015-01-31,28817.0
2015-02-01,28817.0
2015-02-02,28817.0
2015-02-03,25914.0
2015-02-04,25914.0
2015-02-05,25914.0
2015-02-06,25914.0
2015-02-07,25914.0
2015-02-08,25914.0
2015-02-09,25914.0
2015-02-10,27151.0
2015-02-11,27151.0
2015-02-12,27151.0
2015-02-13,27151.0
2015-02-14,27151.0
2015-02-15,27151.0
2015-02-16,27151.0
2015-02-17,21487.0
2015-02-18,21487.0
2015-02-19,21487.0
2015-02-20,21487.0
2015-02-21,21487.0
2015-02-22,21487.0
2015-02-23,21487.0
2015-02-24,13381.0
2015-02-25,13381.0
2015-02-26,13381.0
2015-02-27,13381.0
2015-02-28,13381.0
2015-03-01,13381.0
2015-03-02,13381.0
2015-03-03,4083.0
2015-03-04,4083.0
2015-03-05,4083.0
2015-03-06,4083.0
2015-03-07,4083.0
2015-03-08,4083.0
2015-03-09,4083.0
2015-03-10,1555.0
2015-03-11,1555.0
2015-03-12,1555.0
2015-03-13,1555.0
2015-03-14,1555.0
2015-03-15,1555.0
2015-03-16,1555.0
2015-03-17,284.0
2015-03-18,284.0
2015-03-19,284.0
2015-03-20,284.0
2015-03-21,284.0
2015-03-22,284.0
2015-03-23,284.0
2015-03-24,-2195.0
2015-03-25,-2195.0
2015-03-26,-2195.0
2015-03-27,-2195.0
2015-03-28,-2195.0
2015-03-29,-2195.0
2015-03-30,-2195.0
2015-03-31,-2893.0
2015-04-01,-2893.0
2015-04-02,-2893.0
2015-04-03,-2893.0
2015-04-04,-2893.0
2015-04-05,-2893.0
2015-04-06,-2893.0
2015-04-07,1440.0
2015-04-08,1440.0
2015-04-09,1440.0
2015-04-10,1440.0
2015-04-11,1440.0
2015-04-12,1440.0
2015-04-13,1440.0
2015-04-14,-5339.0
2015-04-15,-5339.0
2015-04-16,-5339.0
2015-04-17,-5339.0
2015-04-18,-5339.0
2015-04-19,-5339.0
2015-04-20,-5339.0
2015-04-21,-962.0
2015-04-22,-962.0
2015-04-23,-962.0
2015-04-24,-962.0
2015-04-25,-962.0
2015-04-26,-962.0
2015-04-27,-962.0
2015-04-28,-1362.0
2015-04-29,-1362.0
2015-04-30,-1362.0
2015-05-01,-1362.0
2015-05-02,-1362.0
2015-05-03,-1362.0
2015-05-04,-1362.0
2015-05-05,-3563.0
2015-05-06,-3563.0
2015-05-07,-3563.0
2015-05-08,-3563.0
2015-05-09,-3563.0
2015-05-10,-3563.0
2015-05-11,-3563.0
2015-05-12,-5243.0
2015-05-13,-5243.0
2015-05-14,-5243.0
2015-05-15,-5243.0
2015-05-16,-5243.0
2015-05-17,-5243.0
2015-05-18,-5243.0
2015-05-19,903.0
2015-05-20,903.0
2015-05-21,903.0
2015-05-22,903.0
2015-05-23,903.0
2015-05-24,903.0
2015-05-25,903.0
2015-05-26,-12814.0
2015-05-27,-12814.0
2015-05-28,-12814.0
2015-05-29,-12814.0
2015-05-30,-12814.0
2015-05-31,-12814.0
2015-06-01,-12814.0
2015-06-02,-10730.0
2015-06-03,-10730.0
2015-06-04,-10730.0
2015-06-05,-10730.0
2015-06-06,-10730.0
2015-06-07,-10730.0
2015-06-08,-10730.0
2015-06-09,-452.0
2015-06-10,-452.0
2015-06-11,-452.0
2015-06-12,-452.0
2015-06-13,-452.0
2015-06-14,-452.0
2015-06-15,-452.0
2015-06-16,-4361.0
2015-06-17,-4361.0
2015-06-18,-4361.0
