Date;LRC-TOT-VG (COMM_LAST)
;Close
28.1.2026;4558
27.1.2026;4560
26.1.2026;4662
23.1.2026;4609
22.1.2026;4532
21.1.2026;4450
20.1.2026;4364
19.1.2026;4309
16.1.2026;4249
15.1.2026;4276
14.1.2026;4187
13.1.2026;4221
12.1.2026;4149
09.1.2026;4132
08.1.2026;4136
07.1.2026;4136
06.1.2026;4152
05.1.2026;4164
02.1.2026;4210
31.12.2025;4221
30.12.2025;4221
29.12.2025;4259
24.12.2025;4278
23.12.2025;4278
22.12.2025;4207
19.12.2025;4145
18.12.2025;4154
17.12.2025;4154
16.12.2025;4097
15.12.2025;4055
12.12.2025;4110
11.12.2025;4070
10.12.2025;4012
09.12.2025;4018
08.12.2025;4021
05.12.2025;4049
04.12.2025;4056
03.12.2025;4115
02.12.2025;4120
01.12.2025;4342
28.11.2025;4530
27.11.2025;4738
26.11.2025;4911
25.11.2025;5134
24.11.2025;5370
21.11.2025;5567
20.11.2025;5640
19.11.2025;5670
18.11.2025;5754
17.11.2025;5648
14.11.2025;5723
13.11.2025;5760
12.11.2025;5879
11.11.2025;5868
10.11.2025;5873
07.11.2025;5926
06.11.2025;6030
05.11.2025;6036
04.11.2025;6053
03.11.2025;6053
31.10.2025;6077
30.10.2025;6111
29.10.2025;6111
28.10.2025;6115
27.10.2025;6122
24.10.2025;6130
23.10.2025;6141
22.10.2025;6141
21.10.2025;6152
20.10.2025;6160
17.10.2025;6176
16.10.2025;6177
15.10.2025;6200
14.10.2025;6228
13.10.2025;6230
10.10.2025;6237
09.10.2025;6237
08.10.2025;6237
07.10.2025;6293
06.10.2025;6333
03.10.2025;6345
02.10.2025;6345
01.10.2025;6450
30.9.2025;6456
29.9.2025;6469
26.9.2025;6469
25.9.2025;6471
24.9.2025;6496
23.9.2025;6478
22.9.2025;6481
19.9.2025;6464
18.9.2025;6517
17.9.2025;6551
16.9.2025;6554
15.9.2025;6556
12.9.2025;6557
11.9.2025;6563
10.9.2025;6608
09.9.2025;6638
08.9.2025;6644
05.9.2025;6654
04.9.2025;6649
03.9.2025;6663
02.9.2025;6691
01.9.2025;6724
29.8.2025;6726
28.8.2025;6552
27.8.2025;6611
26.8.2025;6614
22.8.2025;6642
21.8.2025;6647
20.8.2025;6732
19.8.2025;6749
18.8.2025;6916
