date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_hours
2015-01-01,32.9,23.1,0.0,0.0
2015-01-02,32.6,22.8,1.3,3.0
2015-01-03,32.3,21.7,0.2,1.0
2015-01-04,31.7,22.0,3.7,4.0
2015-01-05,32.1,19.4,0.0,0.0
2015-01-06,31.6,20.6,0.0,0.0
2015-01-07,29.0,20.9,0.0,0.0
2015-01-08,31.7,19.5,0.0,0.0
2015-01-09,31.7,19.2,0.0,0.0
2015-01-10,33.0,21.4,0.0,0.0
2015-01-11,33.5,20.4,0.0,0.0
2015-01-12,34.0,21.1,0.0,0.0
2015-01-13,34.3,20.9,0.0,0.0
2015-01-14,34.0,21.3,0.0,0.0
2015-01-15,32.9,20.9,0.0,0.0
2015-01-16,33.0,21.1,0.0,0.0
2015-01-17,33.2,20.9,0.0,0.0
2015-01-18,34.1,21.0,0.0,0.0
2015-01-19,34.3,22.0,0.0,0.0
2015-01-20,34.0,21.4,0.0,0.0
2015-01-21,34.6,21.4,0.0,0.0
2015-01-22,33.9,23.1,0.2,1.0
2015-01-23,31.8,23.4,0.3,1.0
2015-01-24,27.5,20.0,2.7,9.0
2015-01-25,29.4,20.2,0.2,1.0
2015-01-26,31.3,21.4,1.2,3.0
2015-01-27,30.3,20.8,1.1,5.0
2015-01-28,31.8,21.6,0.1,1.0
2015-01-29,30.9,21.9,0.0,0.0
2015-01-30,33.4,21.9,0.0,0.0
2015-01-31,35.0,23.0,0.1,1.0
2015-02-01,34.2,22.6,0.0,0.0
2015-02-02,34.0,21.1,0.0,0.0
2015-02-03,33.5,22.1,0.4,2.0
2015-02-04,32.3,21.6,2.9,2.0
2015-02-05,27.7,20.4,18.4,19.0
2015-02-06,25.0,20.8,32.6,24.0
2015-02-07,24.9,20.2,34.5,24.0
2015-02-08,23.9,20.2,18.7,23.0
2015-02-09,23.0,19.9,31.4,23.0
2015-02-10,29.2,19.8,10.1,8.0
2015-02-11,29.7,20.5,0.0,0.0
2015-02-12,30.8,19.4,0.0,0.0
2015-02-13,31.1,21.0,0.0,0.0
2015-02-14,30.5,20.4,0.0,0.0
2015-02-15,30.1,19.8,0.0,0.0
2015-02-16,30.0,21.1,0.0,0.0
2015-02-17,29.7,20.9,0.4,1.0
2015-02-18,26.0,21.6,2.5,11.0
2015-02-19,28.2,20.8,3.7,17.0
2015-02-20,28.9,20.1,0.0,0.0
2015-02-21,29.7,18.8,0.0,0.0
2015-02-22,30.0,18.7,0.0,0.0
2015-02-23,29.8,20.6,0.1,1.0
2015-02-24,29.1,19.9,0.0,0.0
2015-02-25,29.5,20.5,0.0,0.0
2015-02-26,30.3,21.2,1.8,2.0
2015-02-27,27.8,20.5,16.3,14.0
2015-02-28,28.6,20.5,13.3,12.0
2015-03-01,23.7,21.3,9.6,9.0
2015-03-02,28.3,19.7,0.0,0.0
2015-03-03,29.0,19.6,0.5,2.0
2015-03-04,28.7,20.7,2.7,3.0
2015-03-05,28.7,19.0,0.9,2.0
2015-03-06,28.9,20.8,0.3,1.0
2015-03-07,29.5,20.4,0.3,1.0
2015-03-08,30.1,21.1,2.7,7.0
2015-03-09,30.5,20.7,0.5,2.0
2015-03-10,29.8,21.5,0.5,2.0
2015-03-11,30.5,21.5,0.9,4.0
2015-03-12,28.7,21.2,0.7,1.0
2015-03-13,29.2,19.5,0.0,0.0
2015-03-14,30.5,19.7,0.0,0.0
2015-03-15,29.5,20.0,0.0,0.0
2015-03-16,29.6,20.5,0.0,0.0
2015-03-17,29.6,20.7,0.0,0.0
2015-03-18,29.3,21.3,0.2,1.0
2015-03-19,28.7,20.1,0.7,2.0
2015-03-20,28.1,20.4,5.0,7.0
2015-03-21,24.6,19.9,27.4,19.0
2015-03-22,25.9,19.1,5.2,9.0
2015-03-23,27.0,19.2,11.3,13.0
2015-03-24,27.6,19.4,3.1,4.0
2015-03-25,28.3,20.1,0.2,1.0
2015-03-26,28.5,20.3,0.1,1.0
2015-03-27,29.5,20.8,0.0,0.0
2015-03-28,30.1,20.6,0.0,0.0
2015-03-29,30.6,21.1,0.0,0.0
2015-03-30,30.9,20.5,0.0,0.0
2015-03-31,30.4,20.6,0.6,4.0
2015-04-01,30.7,21.5,0.4,2.0
